time [s],pos_x [m],pos_y [m],pos_z [m],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg]
0.0,-2.58,-0.54,-0.16,0.101215,0.0505818,0.00691816,0.205158
0.0,-2.58,-0.54,-0.08,0.101215,0.0505818,0.00691816,0.205158
0.0,-2.58,-0.54,-6.93889e-18,0.101215,0.0505818,0.00691816,0.205158
0.0,-2.58,-0.54,0.08,0.101215,0.0505818,0.00691816,0.205158
0.0,-2.58,-0.54,0.16,0.101215,0.0505818,0.00691816,0.205158
0.0,-2.58,-0.42,-0.16,0.101215,0.0555026,0.00807586,0.218256
0.0,-2.58,-0.42,-0.08,0.101215,0.0555026,0.00807586,0.218256
0.0,-2.58,-0.42,-6.93889e-18,0.101215,0.0555026,0.00807586,0.218256
0.0,-2.58,-0.42,0.08,0.101215,0.0555026,0.00807586,0.218256
0.0,-2.58,-0.42,0.16,0.101215,0.0555026,0.00807586,0.218256
0.0,-2.58,-0.3,-0.16,0.101215,0.0593407,0.00902791,0.228206
0.0,-2.58,-0.3,-0.08,0.101215,0.0593407,0.00902791,0.228206
0.0,-2.58,-0.3,-6.93889e-18,0.101215,0.0593407,0.00902791,0.228206
0.0,-2.58,-0.3,0.08,0.101215,0.0593407,0.00902791,0.228206
0.0,-2.58,-0.3,0.16,0.101215,0.0593407,0.00902791,0.228206
0.0,-2.58,-0.18,-0.16,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,-0.18,-0.08,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,-0.18,-6.93889e-18,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,-0.18,0.08,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,-0.18,0.16,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,-0.06,-0.16,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,-0.06,-0.08,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,-0.06,-6.93889e-18,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,-0.06,0.08,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,-0.06,0.16,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,0.06,-0.16,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,0.06,-0.08,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,0.06,-6.93889e-18,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,0.06,0.08,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,0.06,0.16,0.101215,0.0633067,0.0100558,0.238264
0.0,-2.58,0.18,-0.16,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,0.18,-0.08,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,0.18,-6.93889e-18,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,0.18,0.08,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,0.18,0.16,0.101215,0.0619704,0.00970451,0.234899
0.0,-2.58,0.3,-0.16,0.101215,0.0593407,0.00902791,0.228206
0.0,-2.58,0.3,-0.08,0.101215,0.0593407,0.00902791,0.228206
