time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor
2.82065,42.1089,13.095,0,-51.0288,22.0746,0,-107.84,16.4401,0,0.00372096,0.983928,0.973357,141.989,1.88416,121,2400,2,4.1041e-314,0.978619
2.82065,42.9989,12.7158,0,-50.0885,22.5809,0,-105.035,17.623,0,0.00372096,0.983836,0.973205,50.2349,1.88425,122,2396,2,4.1041e-314,0.973131
2.82065,42.3369,13.0834,0,-50.9011,21.8055,0,-106.915,15.7435,0,0.00372096,0.983744,0.973054,161.703,1.88433,123,2399,2,4.1041e-314,0.967412
2.82065,42.2952,12.8064,0,-50.5176,23.174,0,-106.201,18.4592,0,0.00372096,0.983653,0.972903,157.837,1.88442,124,2414,2,4.1041e-314,0.954626
2.82065,42.9446,12.8201,0,-50.2539,22.1988,0,-105.115,16.0332,0,0.00372096,0.983561,0.972752,59.8509,1.88451,125,2403,2,4.1041e-314,0.980741
2.82065,42.1283,13.1122,0,-51.0457,21.9686,0,-107.676,16.2947,0,0.00372096,0.983469,0.972601,144.407,1.8846,126,2399,2,4.1041e-314,0.973864
2.82065,42.1918,13.1222,0,-51.0251,21.8353,0,-107.631,15.7575,0,0.00372096,0.983378,0.97245,152.246,1.88468,127,2395,2,4.1041e-314,0.968123
2.82065,42.7185,12.9988,0,-50.5941,21.6944,0,-106.305,14.9645,0,0.00372096,0.983286,0.9723,103.246,1.88477,128,2396,2,4.1041e-314,0.961133
2.82065,42.0134,12.988,0,-50.9191,22.7121,0,-107.195,17.6843,0,0.00372096,0.983195,0.972149,128.138,1.88486,129,2413,2,4.1041e-314,0.974427
2.82065,41.9905,13.0187,0,-50.9742,22.6064,0,-107.55,17.6339,0,0.00372096,0.983104,0.971999,122.627,1.88495,130,2414,2,4.1041e-314,0.976071
2.82065,42.412,12.7772,0,-50.4304,23.1343,0,-105.756,18.6515,0,0.00372096,0.983013,0.971849,147.226,1.88503,131,2419,2,4.1041e-314,0.955391
2.82065,42.2708,13.1182,0,-50.9814,21.7433,0,-107.429,15.68,0,0.00372096,0.982921,0.971698,159.238,1.88512,132,2403,2,4.1041e-314,0.963138
2.82065,42.4621,13.0648,0,-50.8087,21.7284,0,-106.462,15.1614,0,0.00372096,0.98283,0.971548,151.343,1.88521,133,2394,2,4.1041e-314,0.962412
2.82065,42.6869,13.0297,0,-50.65,21.5982,0,-106.474,14.5528,0,0.00372096,0.982739,0.971398,110.236,1.8853,134,2386,2,4.1041e-314,0.955679
2.82065,42.5701,13.0615,0,-50.756,21.5997,0,-106.157,15.0266,0,0.00372096,0.982648,0.971248,134.939,1.88538,135,2384,2,4.1041e-314,0.955626
2.82065,42.0655,12.9091,0,-50.7799,23.0111,0,-106.359,18.3299,0,0.00372096,0.982557,0.971098,139.679,1.88547,136,2417,2,4.1041e-314,0.962212
2.82065,42.0332,13.0891,0,-51.0547,22.2167,0,-107.754,16.8587,0,0.00372096,0.982467,0.970949,128.487,1.88556,137,2408,2,4.1041e-314,0.980113
2.82065,42.9455,12.8915,0,-50.341,21.8882,0,-105.372,15.3069,0,0.00372096,0.982376,0.970799,61.6765,1.88564,138,2396,2,4.1041e-314,0.970323
2.82065,42.381,13.0947,0,-50.8959,21.6955,0,-106.836,15.1334,0,0.00372096,0.982285,0.97065,159.794,1.88573,139,2397,2,4.1041e-314,0.961282
2.82065,42.4659,13.0867,0,-50.8387,21.6215,0,-106.564,14.983,0,0.00372096,0.982194,0.9705,151.727,1.88582,140,2393,2,4.1041e-314,0.956386
2.82065,42.4982,12.7347,0,-50.3326,23.2111,0,-105.678,19.0032,0,0.00372096,0.982103,0.970351,132.078,1.88591,141,2415,2,4.1041e-314,0.950919
2.82065,42.5741,12.7223,0,-50.2948,23.149,0,-105.042,19.0214,0,0.00372096,0.982013,0.970202,117.667,1.88599,142,2419,2,4.1041e-314,0.953041
2.82065,42.7913,12.9872,0,-50.5481,21.6596,0,-105.813,14.811,0,0.00372096,0.981922,0.970053,89.4436,1.88608,143,2390,2,4.1041e-314,0.959396
2.82065,42.9985,12.8288,0,-50.2297,22.0948,0,-105.231,15.6803,0,0.00372096,0.981832,0.969904,53.4003,1.88617,144,2400,2,4.1041e-314,0.977917
2.82065,42.3271,13.1253,0,-50.9602,21.6398,0,-107.587,15.241,0,0.00372096,0.981742,0.969755,159.737,1.88625,145,2387,2,4.1041e-314,0.956391
2.82065,43.007,12.7724,0,-50.1564,22.3262,0,-104.954,17.0651,0,0.00372096,0.981651,0.969606,51.1472,1.88634,146,2405,2,4.1041e-314,0.979831
2.82065,41.9243,13.1082,0,-51.1398,22.2944,0,-108.223,17.2596,0,0.00372096,0.981561,0.969457,106.026,1.88643,147,2400,2,4.1041e-314,0.977131
2.82065,42.9931,12.8565,0,-50.2677,21.9805,0,-105.238,15.5077,0,0.00372096,0.98147,0.969308,54.7367,1.88652,148,2396,2,4.1041e-314,0.974311
2.82065,42.0874,13.1413,0,-51.1075,21.8995,0,-107.894,16.2017,0,0.00372096,0.98138,0.96916,136.115,1.8866,149,2397,2,4.1041e-314,0.969712
2.82065,42.2112,12.8215,0,-50.5749,23.2224,0,-106.491,18.5934,0,0.00372096,0.98129,0.969012,157.885,1.88669,150,2416,2,4.1041e-314,0.951745
2.82065,42.351,12.7762,0,-50.4632,23.224,0,-105.719,18.888,0,0.00372096,0.9812,0.968863,153.922,1.88677,151,2418,2,4.1041e-314,0.950694
2.82065,42.0149,12.9647,0,-50.8842,22.8242,0,-107.092,17.7916,0,0.00372096,0.98111,0.968715,129.502,1.88686,152,2415,2,4.1041e-314,0.969253
2.82065,41.9259,13.0814,0,-51.0984,22.4117,0,-108.078,17.3599,0,0.00372096,0.98102,0.968566,107.863,1.88695,153,2411,2,4.1041e-314,0.977762
2.82065,42.0269,12.9404,0,-50.843,22.9188,0,-106.922,18.0178,0,0.00372096,0.980929,0.968418,132.45,1.88704,154,2418,2,4.1041e-314,0.965634
