time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh
0,-0.0720374,0.257043,0,0,0,0,0,0,0,0.00310059,0.984749,0.974712,1.48471,4.81221e+233,71,83886081,3.01293e-314,2.1026e-297
0,0.267784,0.0237518,0,0,0,0,0,0,0,0.00310059,0.984623,0.974504,1.48458,4.81221e+233,72,83886081,3.01293e-314,2.1026e-297
0,0.0855245,0.256846,0,0,0,0,0,0,0,0.00310059,0.984498,0.974297,1.48446,4.81221e+233,73,83886081,3.01293e-314,2.1026e-297
0,-0.0655477,-0.264531,0,0,0,0,0,0,0,0.00310059,0.984373,0.974091,1.48433,4.81221e+233,74,83886081,3.01293e-314,2.1026e-297
0,0.0685216,-0.265657,0,0,0,0,0,0,0,0.00310059,0.984249,0.973886,1.48421,4.81221e+233,75,83886081,3.01293e-314,2.1026e-297
0,-0.217194,-0.170581,0,0,0,0,0,0,0,0.00310059,0.984124,0.97368,1.48408,4.81221e+233,76,83886081,3.01293e-314,2.1026e-297
0,0.248718,-0.124178,0,0,0,0,0,0,0,0.00310059,0.984,0.973475,1.48396,4.81221e+233,77,83886081,3.01293e-314,2.1026e-297
0,-0.162935,-0.227483,0,0,0,0,0,0,0,0.00310059,0.983875,0.97327,1.48383,4.81221e+233,78,83886081,3.01293e-314,2.1026e-297
0,0.242342,-0.143403,0,0,0,0,0,0,0,0.00310059,0.983752,0.973066,1.48371,4.81221e+233,79,83886081,3.01293e-314,2.1026e-297
0,0.166605,-0.229195,0,0,0,0,0,0,0,0.00310059,0.983628,0.972863,1.48358,4.81221e+233,80,83886081,3.01293e-314,2.1026e-297
0,-0.270849,0.0890388,0,0,0,0,0,0,0,0.00310059,0.983505,0.97266,1.48346,4.81221e+233,81,83886081,3.01293e-314,2.1026e-297
0,0.236846,0.161854,0,0,0,0,0,0,0,0.00310059,0.983382,0.972457,1.48334,4.81221e+233,82,83886081,3.01293e-314,2.1026e-297
0,-0.198657,0.20938,0,0,0,0,0,0,0,0.00310059,0.983259,0.972254,1.48321,4.81221e+233,83,83886081,3.01293e-314,2.1026e-297
0,-0.141742,-0.25344,0,0,0,0,0,0,0,0.00310059,0.983136,0.972051,1.48309,4.81221e+233,84,83886081,3.01293e-314,2.1026e-297
0,-0.147223,-0.252266,0,0,0,0,0,0,0,0.00310059,0.983014,0.971851,1.48297,4.81221e+233,85,83886081,3.01293e-314,2.1026e-297
0,-0.246757,-0.159434,0,0,0,0,0,0,0,0.00310059,0.982892,0.97165,1.48284,4.81221e+233,86,83886081,3.01293e-314,2.1026e-297
0,-0.0457135,0.291925,0,0,0,0,0,0,0,0.00310059,0.98277,0.971449,1.48272,4.81221e+233,87,83886081,3.01293e-314,2.1026e-297
0,-0.27545,-0.111556,0,0,0,0,0,0,0,0.00310059,0.982648,0.971248,1.4826,4.81221e+233,88,83886081,3.01293e-314,2.1026e-297
0,-0.221602,0.200558,0,0,0,0,0,0,0,0.00310059,0.982526,0.971047,1.48248,4.81221e+233,89,83886081,3.01293e-314,2.1026e-297
0,0.295841,-0.0531431,0,0,0,0,0,0,0,0.00310059,0.982405,0.970847,1.48235,4.81221e+233,90,83886081,3.01293e-314,2.1026e-297
0,0.175969,-0.245709,0,0,0,0,0,0,0,0.00310059,0.982284,0.970648,1.48223,4.81221e+233,91,83886081,3.01293e-314,2.1026e-297
0,-0.0536922,-0.299086,0,0,0,0,0,0,0,0.00310059,0.982163,0.970449,1.48211,4.81221e+233,92,83886081,3.01293e-314,2.1026e-297
0,0.0268685,0.304329,0,0,0,0,0,0,0,0.00310059,0.982042,0.97025,1.48199,4.81221e+233,93,83886081,3.01293e-314,2.1026e-297
0,-0.0117086,0.306935,0,0,0,0,0,0,0,0.00310059,0.981922,0.970051,1.48187,4.81221e+233,94,83886081,3.01293e-314,2.1026e-297
0,0.298891,0.0776108,0,0,0,0,0,0,0,0.00310059,0.981801,0.969853,1.48175,4.81221e+233,95,83886081,3.01293e-314,2.1026e-297
0,-0.0759521,-0.301013,0,0,0,0,0,0,0,0.00310059,0.98168,0.969654,1.48162,4.81221e+233,96,83886081,3.01293e-314,2.1026e-297
0,0.239315,0.200246,0,0,0,0,0,0,0,0.00310059,0.98156,0.969457,1.4815,4.81221e+233,97,83886081,3.01293e-314,2.1026e-297
0,-0.291128,0.116672,0,0,0,0,0,0,0,0.00310059,0.981441,0.96926,1.48138,4.81221e+233,98,83886081,3.01293e-314,2.1026e-297
0,0.0941675,0.300837,0,0,0,0,0,0,0,0.00310059,0.981321,0.969063,1.48126,4.81221e+233,99,83886081,3.01293e-314,2.1026e-297
0,0.25127,-0.192981,0,0,0,0,0,0,0,0.00310059,0.981201,0.968865,1.48114,4.81221e+233,100,83886081,3.01293e-314,2.1026e-297
0,-0.314614,0.04908,0,0,0,0,0,0,0,0.00310059,0.981082,0.968668,1.48102,4.81221e+233,101,83886081,3.01293e-314,2.1026e-297
0,-0.295054,-0.123903,0,0,0,0,0,0,0,0.00310059,0.980962,0.968471,1.4809,4.81221e+233,102,83886081,3.01293e-314,2.1026e-297
0,-0.107947,-0.302913,0,0,0,0,0,0,0,0.00310059,0.980843,0.968276,1.48078,4.81221e+233,103,83886081,3.01293e-314,2.1026e-297
0,0.207008,0.2481,0,0,0,0,0,0,0,0.00310059,0.980724,0.96808,1.48066,4.81221e+233,104,83886081,3.01293e-314,2.1026e-297
0,-0.257263,-0.198049,0,0,0,0,0,0,0,0.00310059,0.980605,0.967885,1.48054,4.81221e+233,105,83886081,3.01293e-314,2.1026e-297
0,-0.316044,-0.08081,0,0,0,0,0,0,0,0.00310059,0.980486,0.967689,1.48042,4.81221e+233,106,83886081,3.01293e-314,2.1026e-297
0,0.0952688,0.313607,0,0,0,0,0,0,0,0.00310059,0.980368,0.967494,1.4803,4.81221e+233,107,83886081,3.01293e-314,2.1026e-297
0,0.308304,-0.115716,0,0,0,0,0,0,0,0.00310059,0.980249,0.967299,1.48018,4.81221e+233,108,83886081,3.01293e-314,2.1026e-297
0,-0.269034,-0.192549,0,0,0,0,0,0,0,0.00310059,0.98013,0.967104,1.48006,4.81221e+233,109,83886081,3.01293e-314,2.1026e-297
0,-0.112999,-0.31254,0,0,0,0,0,0,0,0.00310059,0.980012,0.96691,1.47995,4.81221e+233,110,83886081,3.01293e-314,2.1026e-297
0,0.244031,-0.227814,0,0,0,0,0,0,0,0.00310059,0.979894,0.966716,1.47983,4.81221e+233,111,83886081,3.01293e-314,2.1026e-297
0,-0.238084,-0.236159,0,0,0,0,0,0,0,0.00310059,0.979776,0.966522,1.47971,4.81221e+233,112,83886081,3.01293e-314,2.1026e-297
