time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
0.000000e+00,-2.940000e+00,5.400000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.439801e-04,9.526294e-07,5.856806e-03,3.015988e-314,47,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,5.400000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.439801e-04,9.526294e-07,5.856806e-03,3.015988e-314,48,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,5.400000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.439801e-04,9.526294e-07,5.856806e-03,3.015988e-314,49,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-1.020000e+00,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.102393e-05,5.460434e-09,7.429885e-04,3.015988e-314,50,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-1.020000e+00,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.102393e-05,5.460434e-09,7.429885e-04,3.015988e-314,51,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-1.020000e+00,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.102393e-05,5.460434e-09,7.429885e-04,3.015988e-314,52,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-1.020000e+00,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.102393e-05,5.460434e-09,7.429885e-04,3.015988e-314,53,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-1.020000e+00,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.102393e-05,5.460434e-09,7.429885e-04,3.015988e-314,54,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-9.000000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.703827e-03,2.430575e-05,2.139808e-02,3.015988e-314,55,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-9.000000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.703827e-03,2.430575e-05,2.139808e-02,3.015988e-314,56,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-9.000000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.703827e-03,2.430575e-05,2.139808e-02,3.015988e-314,57,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-9.000000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.703827e-03,2.430575e-05,2.139808e-02,3.015988e-314,58,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-9.000000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.703827e-03,2.430575e-05,2.139808e-02,3.015988e-314,59,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-7.800000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,4.341476e-03,1.155391e-04,3.991930e-02,3.015988e-314,60,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-7.800000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,4.341476e-03,1.155391e-04,3.991930e-02,3.015988e-314,61,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-7.800000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,4.341476e-03,1.155391e-04,3.991930e-02,3.015988e-314,62,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-7.800000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,4.341476e-03,1.155391e-04,3.991930e-02,3.015988e-314,63,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-7.800000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,4.341476e-03,1.155391e-04,3.991930e-02,3.015988e-314,64,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-6.600000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,7.240627e-03,2.709944e-04,5.614038e-02,3.015988e-314,65,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-6.600000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,7.240627e-03,2.709944e-04,5.614038e-02,3.015988e-314,66,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-6.600000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,7.240627e-03,2.709944e-04,5.614038e-02,3.015988e-314,67,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-6.600000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,7.240627e-03,2.709944e-04,5.614038e-02,3.015988e-314,68,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-6.600000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,7.240627e-03,2.709944e-04,5.614038e-02,3.015988e-314,69,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-5.400000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.006163e-02,4.689366e-04,6.990961e-02,3.015988e-314,70,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-5.400000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.006163e-02,4.689366e-04,6.990961e-02,3.015988e-314,71,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-5.400000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.006163e-02,4.689366e-04,6.990961e-02,3.015988e-314,72,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-5.400000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.006163e-02,4.689366e-04,6.990961e-02,3.015988e-314,73,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-5.400000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.006163e-02,4.689366e-04,6.990961e-02,3.015988e-314,74,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-4.200000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.257032e-02,6.795854e-04,8.109403e-02,3.015988e-314,75,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-4.200000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.257032e-02,6.795854e-04,8.109403e-02,3.015988e-314,76,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-4.200000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.257032e-02,6.795854e-04,8.109403e-02,3.015988e-314,77,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-4.200000e-01,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.257032e-02,6.795854e-04,8.109403e-02,3.015988e-314,78,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-4.200000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.257032e-02,6.795854e-04,8.109403e-02,3.015988e-314,79,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.820000e+00,-3.000000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,1.459490e-02,8.716364e-04,8.958296e-02,3.015988e-314,80,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
